OB-Category;OB-Rating;OB-in-Title?;Bug-Category;Experiment Name;# of Retrievals;MRR;MAP;h@1;h@2;h@3;h@4;h@5;h@6;h@7;h@8;h@9;h@10;Avg. Hits;# of Success;# of Failure
Easy;2;0;All;SBERT_results_with_details.csv;1;0.1666666666666666;0.1666666666666666;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.5;1;0
Easy;2;1;All;SBERT_results_with_details.csv;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0
Easy;3;0;All;SBERT_results_with_details.csv;8;0.5423611111111111;0.3967078222998456;0.375;0.5;0.625;0.75;0.875;0.875;0.875;0.875;0.875;0.875;0.75;8;0
Easy;3;1;All;SBERT_results_with_details.csv;8;0.21150030525030522;0.219378567034817;0.0;0.0;0.25;0.625;0.625;0.625;0.75;0.75;0.75;0.75;0.5125;8;0
Easy;4;0;All;SBERT_results_with_details.csv;34;0.5371564967540199;0.5351810076461779;0.38235294117647056;0.5;0.6176470588235294;0.6470588235294118;0.7058823529411765;0.8529411764705882;0.8823529411764706;0.8823529411764706;0.8823529411764706;0.8823529411764706;0.723529411764706;34;0
Easy;4;1;All;SBERT_results_with_details.csv;23;0.6015182884748103;0.5930986887508627;0.43478260869565216;0.6086956521739131;0.6956521739130435;0.782608695652174;0.8260869565217391;0.8260869565217391;0.9130434782608695;0.9130434782608695;0.9565217391304348;0.9565217391304348;0.7913043478260868;23;0
Easy;5;0;All;SBERT_results_with_details.csv;28;0.5602337146980004;0.5351594173022745;0.35714285714285715;0.6071428571428571;0.7142857142857143;0.75;0.7857142857142857;0.8214285714285714;0.8571428571428571;0.8928571428571429;0.9285714285714286;0.9642857142857143;0.7678571428571429;28;0
Easy;5;1;All;SBERT_results_with_details.csv;21;0.7391156462585035;0.6921997882837482;0.6666666666666666;0.7142857142857143;0.7619047619047619;0.8095238095238095;0.8095238095238095;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.9523809523809523;0.8142857142857141;21;0
Hard;1;0;All;SBERT_results_with_details.csv;16;0.34215581567555253;0.33704088822310485;0.0625;0.4375;0.5;0.5625;0.625;0.75;0.8125;0.8125;0.8125;0.8125;0.61875;16;0
Hard;1;1;All;SBERT_results_with_details.csv;1;0.1;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.1;1;0
Hard;2;0;All;SBERT_results_with_details.csv;44;0.4118125245966155;0.4097909506012693;0.25;0.38636363636363635;0.4090909090909091;0.5454545454545454;0.5681818181818182;0.6136363636363636;0.6363636363636364;0.7045454545454546;0.7727272727272727;0.8636363636363636;0.575;44;0
Hard;2;1;All;SBERT_results_with_details.csv;10;0.23892857142857143;0.24726190476190474;0.1;0.1;0.3;0.4;0.4;0.5;0.5;0.6;0.6;0.6;0.41;10;0
Hard;3;0;All;SBERT_results_with_details.csv;27;0.5549382716049382;0.5748971193415637;0.2962962962962963;0.6296296296296297;0.7037037037037037;0.8888888888888888;0.9629629629629629;1.0;1.0;1.0;1.0;1.0;0.8481481481481481;27;0
Hard;3;1;All;SBERT_results_with_details.csv;11;0.4759412304866851;0.4845270890725436;0.2727272727272727;0.5454545454545454;0.5454545454545454;0.6363636363636364;0.7272727272727273;0.7272727272727273;0.7272727272727273;0.7272727272727273;0.8181818181818182;0.8181818181818182;0.6545454545454547;11;0
Hard;4;0;All;SBERT_results_with_details.csv;13;0.6051282051282051;0.5957290626040626;0.38461538461538464;0.6153846153846154;0.7692307692307693;0.9230769230769231;1.0;1.0;1.0;1.0;1.0;1.0;0.8692307692307694;13;0
Hard;4;1;All;SBERT_results_with_details.csv;6;0.8888888888888888;0.7988089225589224;0.8333333333333334;0.8333333333333334;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9666666666666668;6;0
Hard;5;0;All;SBERT_results_with_details.csv;2;0.625;0.625;0.5;0.5;0.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.85;2;0
Easy;2;All;All;SBERT_results_with_details.csv;2;0.5833333333333333;0.5833333333333333;0.5;0.5;0.5;0.5;0.5;1.0;1.0;1.0;1.0;1.0;0.75;2;0
Easy;3;All;All;SBERT_results_with_details.csv;16;0.3769307081807082;0.3080431946673313;0.1875;0.25;0.4375;0.6875;0.75;0.75;0.8125;0.8125;0.8125;0.8125;0.63125;16;0
Easy;4;All;All;SBERT_results_with_details.csv;57;0.5631270442904792;0.5585513000217525;0.40350877192982454;0.543859649122807;0.6491228070175439;0.7017543859649122;0.7543859649122807;0.8421052631578947;0.8947368421052632;0.8947368421052632;0.9122807017543859;0.9122807017543859;0.7508771929824561;57;0
Easy;5;All;All;SBERT_results_with_details.csv;49;0.6368973996525017;0.6024624334371917;0.4897959183673469;0.6530612244897959;0.7346938775510204;0.7755102040816326;0.7959183673469388;0.8367346938775511;0.8571428571428571;0.8775510204081632;0.8979591836734694;0.9591836734693877;0.7877551020408162;49;0
Hard;1;All;All;SBERT_results_with_details.csv;17;0.32791135592993176;0.3230973065629222;0.058823529411764705;0.4117647058823529;0.47058823529411764;0.5294117647058824;0.5882352941176471;0.7058823529411765;0.7647058823529411;0.7647058823529411;0.7647058823529411;0.8235294117647058;0.5882352941176471;17;0
Hard;2;All;All;SBERT_results_with_details.csv;54;0.3797969777136444;0.37969297914953515;0.2222222222222222;0.3333333333333333;0.3888888888888889;0.5185185185185185;0.5370370370370371;0.5925925925925926;0.6111111111111112;0.6851851851851852;0.7407407407407407;0.8148148148148148;0.5444444444444445;54;0
Hard;3;All;All;SBERT_results_with_details.csv;38;0.5320707070707071;0.5487373737373737;0.2894736842105263;0.6052631578947368;0.6578947368421053;0.8157894736842105;0.8947368421052632;0.9210526315789473;0.9210526315789473;0.9210526315789473;0.9473684210526315;0.9473684210526315;0.7921052631578946;38;0
Hard;4;All;All;SBERT_results_with_details.csv;19;0.6947368421052631;0.659859544695071;0.5263157894736842;0.6842105263157895;0.8421052631578947;0.9473684210526315;1.0;1.0;1.0;1.0;1.0;1.0;0.9;19;0
Hard;5;All;All;SBERT_results_with_details.csv;2;0.625;0.625;0.5;0.5;0.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.85;2;0
All;All;0;All;SBERT_results_with_details.csv;173;0.49797493982541136;0.48821446973179033;0.30057803468208094;0.5086705202312138;0.5895953757225434;0.6936416184971098;0.7456647398843931;0.815028901734104;0.838150289017341;0.861271676300578;0.884393063583815;0.9132947976878613;0.7150289017341039;173;0
All;All;1;All;SBERT_results_with_details.csv;81;0.5568682003867189;0.5386143764725636;0.41975308641975306;0.5185185185185185;0.6172839506172839;0.7160493827160493;0.7407407407407407;0.7654320987654321;0.8024691358024691;0.8148148148148148;0.8395061728395061;0.8765432098765432;0.7111111111111111;81;0
All;1;All;All;SBERT_results_with_details.csv;17;0.32791135592993176;0.3230973065629222;0.058823529411764705;0.4117647058823529;0.47058823529411764;0.5294117647058824;0.5882352941176471;0.7058823529411765;0.7647058823529411;0.7647058823529411;0.7647058823529411;0.8235294117647058;0.5882352941176471;17;0
All;2;All;All;SBERT_results_with_details.csv;56;0.38706613327149036;0.3869658489418137;0.23214285714285715;0.3392857142857143;0.39285714285714285;0.5178571428571429;0.5357142857142857;0.6071428571428571;0.625;0.6964285714285714;0.75;0.8214285714285714;0.5517857142857142;56;0
All;3;All;All;SBERT_results_with_details.csv;54;0.4861032999921889;0.4774205799388426;0.25925925925925924;0.5;0.5925925925925926;0.7777777777777778;0.8518518518518519;0.8703703703703703;0.8888888888888888;0.8888888888888888;0.9074074074074074;0.9074074074074074;0.7444444444444445;54;0
All;4;All;All;SBERT_results_with_details.csv;76;0.5960294937441751;0.5838783611900821;0.4342105263157895;0.5789473684210527;0.6973684210526315;0.7631578947368421;0.8157894736842105;0.881578947368421;0.9210526315789473;0.9210526315789473;0.9342105263157895;0.9342105263157895;0.788157894736842;76;0
All;5;All;All;SBERT_results_with_details.csv;51;0.6364308349602467;0.6033462595769098;0.49019607843137253;0.6470588235294118;0.7254901960784313;0.7843137254901961;0.803921568627451;0.8431372549019608;0.8627450980392157;0.8823529411764706;0.9019607843137255;0.9607843137254902;0.7901960784313726;51;0
Easy;All;All;All;SBERT_results_with_details.csv;124;0.5685788072990959;0.5439793638790826;0.4112903225806452;0.5483870967741935;0.6532258064516129;0.7258064516129032;0.7661290322580645;0.8306451612903226;0.8709677419354839;0.8790322580645161;0.8951612903225806;0.9193548387096774;0.75;124;0
Hard;All;All;All;SBERT_results_with_details.csv;130;0.4673247439694808;0.4664263587451625;0.2692307692307692;0.47692307692307695;0.5461538461538461;0.676923076923077;0.7230769230769231;0.7692307692307693;0.7846153846153846;0.8153846153846154;0.8461538461538461;0.8846153846153846;0.6792307692307691;130;0
All;All;All;Non-Synthetic Bug;SBERT_results_with_details.csv;150;0.5313555669476722;0.5283669429815758;0.3466666666666667;0.5466666666666666;0.62;0.72;0.7666666666666667;0.8;0.8333333333333334;0.8533333333333334;0.88;0.92;0.7286666666666666;150;0
All;All;All;Synthetic Bug;SBERT_results_with_details.csv;104;0.49569859402855354;0.469556022217702;0.3269230769230769;0.46153846153846156;0.5673076923076923;0.6730769230769231;0.7115384615384616;0.7980769230769231;0.8173076923076923;0.8365384615384616;0.8557692307692307;0.875;0.6923076923076924;104;0
Easy;2;0;All;LUCENE_results_with_details.csv;1;0.2;0.2;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.6;1;0
Easy;2;1;All;LUCENE_results_with_details.csv;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0
Easy;3;0;All;LUCENE_results_with_details.csv;8;0.6666666666666666;0.5458333333333333;0.625;0.625;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.725;6;2
Easy;3;1;All;LUCENE_results_with_details.csv;8;0.5;0.30729166666666663;0.375;0.625;0.625;0.625;0.625;0.625;0.625;0.625;0.625;0.625;0.6;7;1
Easy;4;0;All;LUCENE_results_with_details.csv;34;0.4264705882352941;0.3928921568627451;0.29411764705882354;0.5588235294117647;0.5588235294117647;0.5588235294117647;0.5588235294117647;0.5588235294117647;0.5588235294117647;0.5588235294117647;0.5588235294117647;0.5588235294117647;0.5323529411764705;28;6
Easy;4;1;All;LUCENE_results_with_details.csv;23;0.43623188405797103;0.41992753623188406;0.30434782608695654;0.43478260869565216;0.4782608695652174;0.6521739130434783;0.6956521739130435;0.6956521739130435;0.6956521739130435;0.6956521739130435;0.6956521739130435;0.6956521739130435;0.6043478260869565;18;5
Easy;5;0;All;LUCENE_results_with_details.csv;28;0.5625;0.4818452380952381;0.42857142857142855;0.6785714285714286;0.6785714285714286;0.7142857142857143;0.7142857142857143;0.7142857142857143;0.7142857142857143;0.7142857142857143;0.7142857142857143;0.7142857142857143;0.6785714285714286;25;3
Easy;5;1;All;LUCENE_results_with_details.csv;21;0.5515873015873016;0.4987244897959183;0.38095238095238093;0.6190476190476191;0.7142857142857143;0.7619047619047619;0.7619047619047619;0.8095238095238095;0.8095238095238095;0.8095238095238095;0.8095238095238095;0.8095238095238095;0.7285714285714284;21;0
Hard;1;0;All;LUCENE_results_with_details.csv;16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2;14
Hard;1;1;All;LUCENE_results_with_details.csv;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0
Hard;2;0;All;LUCENE_results_with_details.csv;44;0.19318181818181818;0.13369318181818182;0.18181818181818182;0.20454545454545456;0.20454545454545456;0.20454545454545456;0.20454545454545456;0.20454545454545456;0.20454545454545456;0.20454545454545456;0.20454545454545456;0.20454545454545456;0.2022727272727273;15;29
Hard;2;1;All;LUCENE_results_with_details.csv;10;0.25;0.2583333333333333;0.2;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.2899999999999999;10;0
Hard;3;0;All;LUCENE_results_with_details.csv;27;0.4444444444444444;0.4337448559670782;0.3333333333333333;0.4074074074074074;0.6296296296296297;0.6296296296296297;0.6296296296296297;0.6296296296296297;0.6296296296296297;0.6296296296296297;0.6296296296296297;0.6296296296296297;0.5777777777777778;25;2
Hard;3;1;All;LUCENE_results_with_details.csv;11;0.45454545454545453;0.45454545454545453;0.45454545454545453;0.45454545454545453;0.45454545454545453;0.45454545454545453;0.45454545454545453;0.45454545454545453;0.45454545454545453;0.45454545454545453;0.45454545454545453;0.45454545454545453;0.4545454545454545;10;1
Hard;4;0;All;LUCENE_results_with_details.csv;13;0.3699633699633699;0.3537895836731869;0.23076923076923078;0.46153846153846156;0.46153846153846156;0.46153846153846156;0.46153846153846156;0.5384615384615384;0.6153846153846154;0.6153846153846154;0.6153846153846154;0.6153846153846154;0.5076923076923077;10;3
Hard;4;1;All;LUCENE_results_with_details.csv;6;0.8333333333333334;0.737361111111111;0.8333333333333334;0.8333333333333334;0.8333333333333334;0.8333333333333334;0.8333333333333334;0.8333333333333334;0.8333333333333334;0.8333333333333334;0.8333333333333334;0.8333333333333334;0.8333333333333333;6;0
Hard;5;0;All;LUCENE_results_with_details.csv;2;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;2;0
Easy;2;All;All;LUCENE_results_with_details.csv;2;0.6;0.6;0.5;0.5;0.5;0.5;1.0;1.0;1.0;1.0;1.0;1.0;0.8;2;0
Easy;3;All;All;LUCENE_results_with_details.csv;16;0.5833333333333334;0.4265625;0.5;0.625;0.6875;0.6875;0.6875;0.6875;0.6875;0.6875;0.6875;0.6875;0.6625;13;3
Easy;4;All;All;LUCENE_results_with_details.csv;57;0.43040935672514624;0.40380116959064327;0.2982456140350877;0.5087719298245614;0.5263157894736842;0.5964912280701754;0.6140350877192983;0.6140350877192983;0.6140350877192983;0.6140350877192983;0.6140350877192983;0.6140350877192983;0.5614035087719298;46;11
Easy;5;All;All;LUCENE_results_with_details.csv;49;0.5578231292517006;0.48907920310981534;0.40816326530612246;0.6530612244897959;0.6938775510204082;0.7346938775510204;0.7346938775510204;0.7551020408163265;0.7551020408163265;0.7551020408163265;0.7551020408163265;0.7551020408163265;0.6999999999999998;46;3
Hard;1;All;All;LUCENE_results_with_details.csv;17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3;14
Hard;2;All;All;LUCENE_results_with_details.csv;54;0.2037037037037037;0.1567746913580247;0.18518518518518517;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.21851851851851856;25;29
Hard;3;All;All;LUCENE_results_with_details.csv;38;0.4473684210526316;0.4397660818713451;0.3684210526315789;0.42105263157894735;0.5789473684210527;0.5789473684210527;0.5789473684210527;0.5789473684210527;0.5789473684210527;0.5789473684210527;0.5789473684210527;0.5789473684210527;0.5421052631578949;35;3
Hard;4;All;All;LUCENE_results_with_details.csv;19;0.5162907268170427;0.4749174344430577;0.42105263157894735;0.5789473684210527;0.5789473684210527;0.5789473684210527;0.5789473684210527;0.631578947368421;0.6842105263157895;0.6842105263157895;0.6842105263157895;0.6842105263157895;0.6105263157894736;16;3
Hard;5;All;All;LUCENE_results_with_details.csv;2;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;2;0
All;All;0;All;LUCENE_results_with_details.csv;173;0.3589182493806771;0.31566209459843475;0.2774566473988439;0.4046242774566474;0.44508670520231214;0.4508670520231214;0.45664739884393063;0.4624277456647399;0.4682080924855491;0.4682080924855491;0.4682080924855491;0.4682080924855491;0.4369942196531792;114;59
All;All;1;All;LUCENE_results_with_details.csv;81;0.4829218106995885;0.43947383891828334;0.38271604938271603;0.5185185185185185;0.5555555555555556;0.6172839506172839;0.6296296296296297;0.6419753086419753;0.6419753086419753;0.6419753086419753;0.6419753086419753;0.6419753086419753;0.5913580246913581;74;7
All;1;All;All;LUCENE_results_with_details.csv;17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3;14
All;2;All;All;LUCENE_results_with_details.csv;56;0.21785714285714283;0.17260416666666667;0.19642857142857142;0.23214285714285715;0.23214285714285715;0.23214285714285715;0.25;0.25;0.25;0.25;0.25;0.25;0.23928571428571432;27;29
All;3;All;All;LUCENE_results_with_details.csv;54;0.4876543209876543;0.43585390946502056;0.4074074074074074;0.48148148148148145;0.6111111111111112;0.6111111111111112;0.6111111111111112;0.6111111111111112;0.6111111111111112;0.6111111111111112;0.6111111111111112;0.6111111111111112;0.5777777777777777;48;6
All;4;All;All;LUCENE_results_with_details.csv;76;0.45187969924812027;0.4215802358037469;0.32894736842105265;0.5263157894736842;0.5394736842105263;0.5921052631578947;0.6052631578947368;0.618421052631579;0.631578947368421;0.631578947368421;0.631578947368421;0.631578947368421;0.5736842105263158;62;14
All;5;All;All;LUCENE_results_with_details.csv;51;0.5555555555555556;0.48950746965452846;0.4117647058823529;0.6470588235294118;0.6862745098039216;0.7254901960784313;0.7254901960784313;0.7450980392156863;0.7450980392156863;0.7450980392156863;0.7450980392156863;0.7450980392156863;0.692156862745098;48;3
Easy;All;All;All;LUCENE_results_with_details.csv;124;0.5032258064516129;0.44360119047619045;0.3709677419354839;0.5806451612903226;0.6129032258064516;0.6612903225806451;0.6774193548387096;0.6854838709677419;0.6854838709677419;0.6854838709677419;0.6854838709677419;0.6854838709677419;0.6330645161290323;107;17
Hard;All;All;All;LUCENE_results_with_details.csv;130;0.29853479853479853;0.27077212076048107;0.25384615384615383;0.3076923076923077;0.35384615384615387;0.35384615384615387;0.35384615384615387;0.36153846153846153;0.36923076923076925;0.36923076923076925;0.36923076923076925;0.36923076923076925;0.3461538461538462;81;49
All;All;All;Non-Synthetic Bug;LUCENE_results_with_details.csv;150;0.4087777777777778;0.362049330055909;0.3;0.46;0.52;0.54;0.5533333333333333;0.56;0.56;0.56;0.56;0.56;0.5173333333333334;102;48
All;All;All;Synthetic Bug;LUCENE_results_with_details.csv;104;0.38358516483516486;0.3451877289377289;0.3269230769230769;0.41346153846153844;0.4230769230769231;0.4519230769230769;0.4519230769230769;0.46153846153846156;0.47115384615384615;0.47115384615384615;0.47115384615384615;0.47115384615384615;0.44134615384615394;86;18
Easy;2;0;All;BLIP_results_with_details.csv;1;0.1;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.1;1;0
